Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.5912150556229953,0.16410280511697437,0.31832955,0.27288618,0.22670907,0.081942,0.08216092,0.01797218,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Gender,Man,2929.637,0.5697398687960317,0.1549999,0.2850095200000002,0.28469688,0.25991937,0.09474573,0.0606285,0.015,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Gender,Woman,3049.36,0.6118496996090983,0.17248914526326833,0.3501132400000001,0.2615399,0.195,0.06964104,0.10284806999999999,0.02085775,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Age,18-24,478.2759,0.6034811705963022,0.185,0.29231684,0.31116391,0.19009122,0.08669289,0.09758106,0.02215387,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Age,25-34,836.9062,0.6044572259113387,0.1755544408680447,0.34945734999999994,0.2549999,0.20089563,0.07971591,0.09583843,0.01909278,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Age,35-49,1494.556,0.635,0.17153923974745677,0.35711087999999996,0.27693542,0.17941456,0.08058875,0.09095049,0.0149999,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Age,50-64,1554.412,0.6163856171980144,0.14499990000000001,0.34018458,0.27620135,0.2193773,0.06401636,0.08261111,0.0176107,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Age,65+,1614.848,0.5176126793357642,0.1621332781785035,0.255,0.26372804,0.3006460899999999,0.10019586999999999,0.061937530000000005,0.01849247,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Total-CSP+,1734.019,0.6282855032153627,0.15205283217773277,0.33518652,0.29309921,0.21412314,0.0844993,0.06755353,0.00553832,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Small Business owners,212.9949,0.576512395367213,0.22327257601003592,0.25663445,0.31987785,0.19177999,0.07180548,0.15146715,0.00843528,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
