Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.28875119961491896,0.40338002897473524,0.12587412,0.16287688,0.27974501,0.29838092999999993,0.10499990000000001,0.02812316,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Gender,Man,2929.637,0.27602873666601013,0.4234865957796136,0.11977286,0.15625608,0.27370517,0.34091828,0.08256842,0.026781730000000004,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Gender,Woman,3049.36,0.30097433559828946,0.385,0.13173627,0.16923807,0.28499990000000003,0.25687029000000006,0.12774349,0.02941198,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Age,18-24,478.2759,0.3103325925475233,0.368189783344718,0.11835357,0.19197894,0.28978608,0.24632874,0.121861,0.03169156,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Age,25-34,836.9062,0.29329153016192255,0.40890568142523026,0.12768994,0.1649999,0.2785527300000002,0.25816955,0.15073637,0.01985151,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Age,35-49,1494.556,0.29977458188251227,0.37687901958842623,0.11354202,0.18623263,0.29843793,0.26172536,0.11515372999999998,0.02490781,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Age,50-64,1554.412,0.2885003461115843,0.42057401769929725,0.13639736,0.15210311,0.26081817,0.32024824,0.10032571999999998,0.030109080000000003,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Age,65+,1614.848,0.27004622106848447,0.41891732224952444,0.12844503,0.14160088,0.27862003,0.34526036,0.07365709,0.03241748,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Total-CSP+,1734.019,0.27165567389976697,0.4012840113055278,0.10387486999999998,0.16778098,0.31165991,0.3078908,0.09339309,0.015400700000000002,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Small Business owners,212.9949,0.2361895989058893,0.45938334673741016,0.05555147,0.18063813,0.29177248,0.29708232,0.16230098,0.01265478,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.31471350297122463,0.3714568441184503,0.12390802,0.19080542,0.2980334,0.28979077,0.08166616,0.01579634,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Prof Intermed,896.9079,0.252338618045398,0.4049093557989622,0.10237513,0.14996345,0.32651257,0.3240345,0.08087497,0.01623829,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Total-CSP-,1674.09,0.30962098811891836,0.4098156013117575,0.13166401,0.17795692,0.25011272,0.27393408,0.1358817,0.03045023,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Salaried,956.6466,0.307766107149704,0.4002617058378716,0.14155384,0.16621237,0.26217769,0.25945987,0.14080184,0.02979396,"q13v13b_i4. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes en mer"
